muscle
False
False
False
False
False
False
leaf
flower
leaf
flower
False
False
False
False
False
False
particle
stud
nailhead
False
False
False
finger
False
False
False
place
place
end
False
False
False
False
False
False
gland
False
False
False
characteristic
False
hatchling
False
False
river
False
False
False
False
False
False
column
False
area
arm
animal
False
False
joint
person
False
property
noun
adjective
False
False
False
False
False
constituent
False
constituent
parasite
False
False
parasite
stage
False
False
False
False
False
False
False
False
False
False
False
person
location
False
False
False
False
other
False
False
False
grow
spread
False
False
feature
False
False
flower
False
mode
False
False
False
height
False
False
filament
False
False
False
False
False
False
False
False
False
False
action
False
False
False
False
rudiment
difficulty
lung
False
False
False
False
gap
break
False
product
reactant
end
button
resource
False
False
False
False
False
piece
False
False
syllable
False
False
syllable
False
False
leaf
False
False
leaf
False
False
False
False
False
False
False
False
False
False
decision
False
False
False
False
compartment
unit
False
vessel
pore
False
False
edge
False
False
False
flower
False
impulse
False
organ
cn
impulse
False
cn
False
False
False
False
False
False
False
False
False
False
person
price
False
requirement
demand
False
False
False
False
spirit
False
False
False
False
False
False
False
cherry
tomato
ruby
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
document
False
document
False
False
document
person
document
False
impurity
habit
False
False
False
soil
stain
False
False
observer
False
False
False
False
False
False
False
False
False
False
False
False
person
False
ruthles
False
False
False
False
False
interest
affection
False
False
False
False
False
False
variou
False
False
False
False
False
False
False
characteristic
False
False
False
False
False
False
False
False
False
False
False
False
False
other
False
False
False
False
False
False
False
False
feature
False
scion
False
False
solid
solution
False
False
False
False
component
False
False
False
False
False
share
False
commitment
responsibility
False
intensifier
point
False
False
False
False
False
False
side
False
False
False
False
False
False
constituent
False
False
False
False
False
False
False
False
characteristic
False
insulator
conductor
False
False
False
False
False
False
False
False
False
surrounding
sensation
thought
sensation
False
False
stimulus
False
False
goodnes
False
liberty
False
False
person
False
False
False
False
image
False
religion
False
False
False
recur
False
False
False
False
discontinuity
False
person
survey
term
False
False
group
subsidiary
False
False
False
False
sense
False
False
False
idea
image
representation
expression
False
False
False
attitude
interest
False
fece
False
False
other
False
False
False
False
False
False
usage
other
power
False
False
error
False
False
False
branch
leaf
bract
False
molar
bicuspid
False
False
False
False
cousin
False
False
dimension
aspect
False
False
False
nail
False
False
False
turn
False
False
spiral
whorl
False
False
False
consequence
False
False
False
False
False
False
False
victoriou
False
False
False
False
False
False
False
False
spirit
False
False
plant
False
False
False
False
False
False
False
principle
False
False
False
plant
person
habit
country
False
import
False
False
False
False
False
False
prevent
False
automobile
False
False
False
False
False
False
False
False
False
False
demand
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
compound
bond
dimension
False
