abducent:especially muscles
abducent:drawing away midline body adjacent part
adducent:especially muscles
adducent:bringing together drawing toward midline body toward adjacent part
moribund:point death
moribund:breathing last
direct:lacking compromising mitigating elements
direct:exact
relative:estimated comparison
relative:absolute complete
abstinent:self restraining
abstinent:indulging appetite especially food drink
hoggish:resembling swine
hoggish:coarsely gluttonous greedy
abstract:existing mind
abstract:separated embodiment
concrete:capable perceived senses
concrete:abstract imaginary
thick:abounding
thick:lot
unabused:physically abused
unabused:treated properly
unexceptionable:completely acceptable
unexceptionable:open exception reproach
unobjectionable:objectionable
unobjectionable:means one can t accept
unacceptable:acceptable
unacceptable:welcome
exceptionable:liable objection debate
exceptionable:used something one might take exception
outback:inaccessible sparsely populated
faulty:characterized errors
faulty:agreeing model following established rules
faulty:wrong side road
unaccustomed:habituated to
unaccustomed:unfamiliar
acidic:containing acid
acidic:solution excess hydrogen atoms having ph less 7
alkaline:relating containing alkali
alkaline:ph greater 7
alkalescent:tending become alkaline
alkalescent:slightly alkaline
acidophilic:especially bacteria
acidophilic:growing well acid medium
alkaline-loving:thriving relatively alkaline environment
alkaline-loving:especially plants requiring ph 7
putative:purported
putative:commonly put forth accepted true inconclusive grounds
unacquisitive:acquisitive
unacquisitive:interested acquiring owning anything
acropetal:leaves flowers
acropetal:developing opening succession base apex
basipetal:leaves flowers
basipetal:developing opening succession apex base
inactive:lacking activity
inactive:lying idle unused
dark:giving performances
dark:closed
dead:devoid activity
dead:nothing ever happens here
inactive:pathology progressing increasing
inactive:progressing slowly
activated:rendered active
activated:e g rendered radioactive luminescent photosensitive conductive
surface-active:capable lowering surface tension liquid
surface-active:used especially detergents
effective:existing fact
effective:theoretical
effective:real
subacute:less acute
subacute:relating disease present person symptoms
virulent:infectious
virulent:ability cause disease
avirulent:virulent
avirulent:unable produce disease
accommodative:tending reconcile accommodate
accommodative:bringing harmony
ablative:tending ablate
ablative:i e removed vaporized high temperature
bondable:capable holding together cohering
bondable:particles mass
crested:of bird animal usually ornamental tuft process head
crested:often used combination
mounted:decorated applied ornamentation
mounted:often used combination
studded:dotted adorned studs nailheads
studded:usually used combination
clean:free clumsiness
clean:precisely deftly executed
deft:skillful physical movements
deft:especially hands
light-fingered:nimble fingers literally figuratively
light-fingered:especially stealing picking pockets
advisable:worthy recommended suggested
advisable:prudent wise
inadvisable:prudent wise
inadvisable:recommended
aerobic:based using principles aerobics
aerobic:enhancing respiratory circulatory efficiency
inaesthetic:violating aesthetic canons requirements
inaesthetic:deficient tastefulness beauty
inartistic:lacking aesthetic sensibility
affected:acted upon
affected:influenced
constrained:lacking spontaneity
constrained:natural
unaffected:free artificiality
unaffected:sincere genuine
unmannered:without artificiality
unmannered:natural
repudiative:rejecting emphatically
repudiative:e g refusing pay disowning
afloat:borne water
afloat:floating
acrophobic:suffering acrophobia
acrophobic:abnormally afraid high places
agoraphobic:suffering agoraphobia
agoraphobic:abnormally afraid open public places
algophobic:suffering algophobia
algophobic:abnormally afraid pain
claustrophobic:suffering claustrophobia
claustrophobic:abnormally afraid closed in places
mysophobic:suffering mysophobia
mysophobic:abnormally afraid dirt contamination
numb:frightened unable move
numb:stunned paralyzed terror
numb:petrified
xenophobic:suffering xenophobia
xenophobic:abnormal fear hatred strange foreign
aggressive:showing determination energetic pursuit ends
aggressive:positive convictions
unaggressive:aggressive
unaggressive:given fighting assertiveness
frantic:excessively agitated
frantic:distraught fear violent emotion
churning:of liquid agitated vigorously
churning:state turbulence
harsh:sharply disagreeable
harsh:rigorous
argus-eyed:carefully observant attentive
argus-eyed:lookout possible danger
liveborn:of newborn infant showing signs life birth
liveborn:stillborn
breathless:appearing dead
breathless:breathing perceptible pulse
lifeless:deprived life
lifeless:longer living
slain:killed
slain:slain formal literary slain warriors
stillborn:of newborn infant showing signs life birth
stillborn:liveborn
eccrine:of exocrine glands producing clear aqueous secretion without releasing part secreting cell
eccrine:important regulating body temperature
living:used minerals stone natural state place
living:mined quarried
dead:showing characteristics life especially capacity sustain life
dead:longer exerting force energy heat
precocial:of hatchlings covered eyes open
precocial:capable leaving nest within days
double-barreled:two purposes
double-barreled:twofold
polysemous:words
polysemous:many meanings
shiftless:lacking characterized lack ambition initiative
shiftless:lazy
anaclinal:valleys rivers
anaclinal:progressing direction opposite dip surrounding rock strata
cataclinal:valleys rivers
cataclinal:running direction dip surrounding rock strata
anabatic:air current wind
anabatic:rising especially slope
katabatic:air current wind
katabatic:moving downward slope cooling especially night
anal:stage psychosexual development child s interest concentrated anal region
anal:fixation stage said result orderliness meanness stubbornness compulsiveness etc
oral:stage psychosexual development child s interest concentrated mouth
oral:fixation stage said result dependence selfishness aggression
unanimated:animated enlivened
unanimated:dull
semiaquatic:partially aquatic
semiaquatic:living growing partly land partly water
foregoing:especially writing speech
foregoing:going
unprecedented:precedent
unprecedented:novel
retrograde:amnesia
retrograde:affecting time immediately preceding trauma
anterograde:amnesia
anterograde:affecting time immediately following trauma
accessible:easy get along talk to
accessible:friendly
unapproachable:discouraging intimacies
unapproachable:reserved
offish:lacking cordiality
offish:unfriendly
delinquent:past due
delinquent:paid scheduled time
a_priori:involving deductive reasoning general principle necessary effect
a_priori:supported fact
columned:resembling columns
columned:columns specified kind often used combining form
arenaceous:resembling containing abounding sand
arenaceous:growing sandy areas
armed:arms arms specified
armed:used especially combination
armored:used animals
armored:provided protective covering
unarmored:used animals
unarmored:without protective covering
artless:simple natural
artless:without cunning deceit
tongued:manner speaking specified
tongued:often used combination
jointed:joints jointed segments
unashamed:used persons behavior
unashamed:feeling shame
intended:future
intended:betrothed
mounted:assembled use
mounted:especially attached support
sessile:attached directly base
sessile:intervening stalk
sessile:permanently attached substrate
sessile:free move
free-swimming:of animals able swim about
free-swimming:attached
detached:used buildings
detached:standing apart others
freestanding:standing apart
freestanding:attached supported anything
shy:wary distrustful
shy:disposed avoid persons things
absent:lost thought
absent:showing preoccupation
fetching:attractive
fetching:capturing interest
glossy:superficially attractive stylish
glossy:suggesting wealth expense
attractive:properties magnet
attractive:ability draw pull
attributive:adjectives
attributive:placed nouns modify
predicative:adjectives
predicative:relating occurring within predicate sentence
sounding:making sound specified
sounding:used combining form
inaudible:impossible hear
inaudible:imperceptible ear
inauspicious:auspicious
inauspicious:boding ill
propitious:presenting favorable circumstances
propitious:likely result show signs success
approved:established authority
approved:given authoritative approval
unconstitutional:consistent according constitution
unconstitutional:contrary u s constitution
autochthonous:rocks deposits etc
autochthonous:found constituents formed
allochthonous:rocks deposits etc
allochthonous:found place constituents formed
autoecious:parasites especially rust fungi
autoecious:completing entire life cycle single host
heteroecious:parasites
heteroecious:passing different stages life cycle different host species
automatic:operating minimal human intervention
automatic:independent external control
awake:state sleep
awake:completely conscious
fast_asleep:sleeping deeply
fast_asleep:he s sound asleep
unsuspecting:often followed of knowing expecting
unsuspecting:thinking likely
ghastly:shockingly repellent
ghastly:inspiring horror
unalarming:alarming
unalarming:assuaging alarm
unreassuring:reassuring
unreassuring:tending cause anxiety
leading:going proceeding going advance
leading:showing way
directing:showing way conducting leading
directing:imposing direction
bashful:disposed avoid notice
bashful:blate scottish term bashful
forward:used temperament behavior
forward:lacking restraint modesty
glabrous:hair similar growth
glabrous:smooth
picturesque:suggesting suitable picture
picturesque:pretty picture
pretty:pleasing delicacy grace
pretty:imposing
pulchritudinous:used persons only
pulchritudinous:great physical beauty
scenic:used locations
scenic:beautiful natural scenery
grotesque:distorted unnatural shape size
grotesque:abnormal hideous
bellied:belly
bellied:often used combination
despiteful:showing malicious ill desire hurt
despiteful:motivated spite
malevolent:wishing appearing wish evil others
malevolent:arising intense ill hatred
poisonous:marked deep ill will
poisonous:deliberately harmful
cancerous:like cancer
cancerous:evil grows spreads
pessimal:organism s environment
pessimal:least favorable survival
better:comparative good superior another of class set kind excellence quality desirability suitability
better:highly skilled another
worsened:made become worse
worsened:impaired
faced:face facing especially specified kind number
faced:often used combination
featured:facial features specified
featured:usually used combination
tetramerous:consisting four similar parts
tetramerous:tetramerous flowers
bimodal:distribution
bimodal:occurring two modes
ash-blonde:hair color
ash-blonde:whitish
fair:used hair skin pale light colored
flaxen:hair color
flaxen:pale yellowish yellowish brown
overreaching:revealing excessive self confidence
overreaching:reaching heights
bashful:self consciously timid
bashful:lowering head i looked wall ezra pound
thrown:twisted together
thrown:filaments spun thread
bound:secured cover binding
bound:often used combining form
bordered:border especially specified kind
bordered:sometimes used combining term
deckled:rough edge
deckled:used handmade paper paper resembling handmade
fringed:surrounded border fringe
fringed:sometimes used combination
brave:possessing displaying courage
brave:able face deal danger fear without flinching
desperate:showing extreme courage
desperate:especially actions courageously undertaken desperation last resort
cowardly:lacking courage
cowardly:ignobly timid faint hearted
craven:lacking even rudiments courage
craven:abjectly fearful
pusillanimous:lacking courage manly strength resolution
pusillanimous:contemptibly fearful
gutsy:marked courage determination face difficulties danger
gutsy:robust uninhibited
gutsy:gutsy thing do
breathing:passing able pass air lungs normally
breathing:sometimes used combination
dark:devoid deficient light brightness
dark:shadowed black
aphotic:lacking light
aphotic:especially reached sunlight
crepuscular:like twilight
crepuscular:dim
dim:lacking light
dim:bright harsh
brilliant:full light
brilliant:shining intensely
flat:reflecting light
flat:glossy
unbroken:broken
unbroken:whole intact
unbroken:one piece
solid:uninterrupted space
solid:gaps breaks
endergonic:biochemistry process accompanied requiring absorption energy
endergonic:products process greater free energy reactants
unengaged:busy occupied
unengaged:free
button-down:shirt
button-down:ends collar fastened buttons
open-collared:shirt
open-collared:buttoned neck
resourceful:inner resources
resourceful:adroit imaginative
close:rigorously attentive
close:strict thorough
careless:marked lack attention consideration forethought thoroughness
careless:careful
casual:hasty without attention detail
casual:thorough
carpeted:covered carpeting carpeting specified
carpeted:often used combination
sliced:used meat
sliced:cut pieces serving
acatalectic:verse metrically complete
acatalectic:especially full number syllables final metrical foot
catalectic:verse metrically incomplete
catalectic:especially lacking one syllables final metrical foot
cauline:especially leaves
cauline:growing stem especially upper part stem
radical:especially leaves
radical:located base plant stem
radical:especially arising directly root rootstock root like stem
tailed:tail specified kind
tailed:often used combination
causal:involving constituting cause
causal:causing
conducive:tending bring about
conducive:partly responsible
inductive:inducing influencing
inductive:leading
cautious:showing careful forethought
cautious:never making swift decisions
fabian:using cautious slow strategy wear opposition
fabian:avoiding direct confrontation
hotheaded:characterized undue haste lack thought deliberation
hotheaded:brainish archaic
uncompartmented:compartmented
uncompartmented:divided compartments isolated units
nonporous:porous
nonporous:especially vessels appear pores
central:near center constituting center
central:inner area
peripheral:near edge constituting outer boundary
peripheral:outer area
encircling:around edges
encircling:enclosing
inward-developing:toward axis sunflower
inward-developing:oldest flowers near edge youngest center
afferent:nerves nerve impulses
afferent:conveying sensory information sense organs cns
efferent:nerves nerve impulses
efferent:conveying information away cns
certain:established beyond doubt question
certain:definitely known
uncertain:established beyond doubt
uncertain:still undecided unknown
certain:feeling doubt uncertainty
certain:confident assured
convinced:persuaded of
convinced:sure
assured:marked assurance
assured:exhibiting confidence
reassured:confidence restored
reassured:freed anxiety
certain:certain occur
certain:destined inevitable
uncertain:certain occur
uncertain:inevitable
fatal:controlled decreed fate
fatal:predetermined
changeable:alteration possible
changeable:marked tendency change
fluid:subject change
fluid:variable
confirmed:persons
confirmed:subject change
fixed:incapable changed moved undone
fixed:e g frozen prices
unalterable:sentence
unalterable:cannot changed
unadjusted:altered fit certain requirements
adjusted:adjusted demands daily living
adjusted:showing emotional stability
in-situ:original position
in-situ:moved
peculiar:characteristic one only
peculiar:distinctive special
charged:particle body system
charged:net amount positive negative electric charge
uncharged:particle body system
uncharged:charge
dead:drained electric charge
dead:discharged
owned:owner
owned:often used combination
licentious:lacking moral discipline
licentious:especially sexually unrestrained
cheerful:full promoting cheer
cheerful:showing good spirits
cheery:bright pleasant
cheery:promoting feeling cheer
blue:color intermediate green violet
